sample_index,environment,path_num,method,lr,step,obstacle,curvature,curvature_max,out_of_bound,endpoint,weighted_obstacle,weighted_curvature,weighted_out_of_bound,weighted_endpoint,feasible,smoothness,jerk,quality,total,cost,dangerous_ratio,unsafe_margin_ratio,min_esdf,path_length,curvature_violation_ratio,control_oob_ratio,control_oob_max
24,env000028,13,R,0.03,50,1.488592267036438,0.5959771275520325,2.3469018936157227,0.0,0.013286956585943699,1.488592267036438,0.14899428188800812,0.0,0.013286956585943699,1.6508735418319702,0.0016848872182890773,0.0005912575288675725,0.0005912575288675725,1.6508735418319702,1.6508735418319702,0.05000000074505806,0.05999999865889549,-0.7452375888824463,17.288406372070312,0.16326530277729034,0.0,0.0
25,env000079,12,R,0.03,50,1.2853682041168213,0.09993734210729599,1.64651358127594,0.0,0.007859611883759499,1.2853682041168213,0.024984335526823997,0.0,0.007859611883759499,1.3182121515274048,0.0005939682014286518,0.00023488434089813381,0.00023488434089813381,1.3182121515274048,1.3182121515274048,0.05999999865889549,0.09000000357627869,-0.5124687552452087,12.86021614074707,0.10204081982374191,0.0,0.0
26,env000028,14,R,0.03,50,1.9332101345062256,0.0,1.3453727960586548,0.0,0.14233320951461792,1.9332101345062256,0.0,0.0,0.14233320951461792,2.0755434036254883,0.0007811399409547448,0.00021099178411532193,0.00021099178411532193,2.0755434036254883,2.0755434036254883,0.05000000074505806,0.05000000074505806,-0.8929877877235413,15.363618850708008,0.0,0.0,0.0
27,env000028,1,R,0.03,50,2.896395683288574,0.002749896142631769,1.4192492961883545,0.0,0.006679678335785866,2.896395683288574,0.0006874740356579423,0.0,0.006679678335785866,2.9037628173828125,0.0008062401902861893,0.0003961485926993191,0.0003961485926993191,2.9037628173828125,2.9037628173828125,0.12999999523162842,0.18000000715255737,-0.5268805027008057,17.217266082763672,0.010204081423580647,0.0,0.0
28,env000013,19,R,0.03,50,1.8348737955093384,0.35234352946281433,2.158751964569092,0.0,0.039081525057554245,1.8348737955093384,0.08808588236570358,0.0,0.039081525057554245,1.9620412588119507,0.0011045457795262337,0.00038617756217718124,0.00038617756217718124,1.9620412588119507,1.9620412588119507,0.11999999731779099,0.18000000715255737,-0.39393603801727295,14.880306243896484,0.0714285746216774,0.0,0.0
29,env000071,18,R,0.03,50,0.8430383801460266,0.20854851603507996,2.094324827194214,0.0,0.1052824854850769,0.8430383801460266,0.05213712900876999,0.0,0.1052824854850769,1.000458002090454,0.001956883817911148,0.0009080222807824612,0.0009080222807824612,1.0004581212997437,1.0004581212997437,0.029999999329447746,0.03999999910593033,-0.5399264693260193,21.88376235961914,0.06122449040412903,0.0,0.0
30,env000098,1,R,0.03,50,1.7572118043899536,0.507373034954071,2.33362078666687,0.0,0.006206896156072617,1.7572118043899536,0.12684325873851776,0.0,0.006206896156072617,1.8902618885040283,0.0020754311699420214,0.0011400518706068397,0.0011400518706068397,1.8902620077133179,1.8902620077133179,0.07999999821186066,0.10000000149011612,-0.4745066165924072,20.1005916595459,0.11224489659070969,0.0,0.0
31,env000098,16,R,0.03,50,0.708905041217804,0.9673572778701782,2.8479926586151123,0.0,0.00982862338423729,0.708905041217804,0.24183931946754456,0.0,0.00982862338423729,0.9605730175971985,0.001789541682228446,0.0010324883041903377,0.0010324883041903377,0.960573136806488,0.960573136806488,0.029999999329447746,0.029999999329447746,-0.4000000059604645,13.399608612060547,0.15306122601032257,0.0,0.0
32,env000096,12,R,0.03,50,1.6355345249176025,0.0048025608994066715,1.4336179494857788,0.0,0.0037467805668711662,1.6355345249176025,0.0012006402248516679,0.0,0.0037467805668711662,1.640481948852539,0.0013676019152626395,0.0006241230876185,0.0006241230876185,1.6404820680618286,1.6404820680618286,0.07999999821186066,0.09000000357627869,-0.51727294921875,19.731138229370117,0.010204081423580647,0.0,0.0
33,env000079,8,R,0.03,50,1.9006434679031372,0.01880192756652832,1.5016052722930908,0.0,0.04214651510119438,1.9006434679031372,0.00470048189163208,0.0,0.04214651510119438,1.9474905729293823,0.00134317169431597,0.00026678884751163423,0.00026678884751163423,1.9474905729293823,1.9474905729293823,0.05000000074505806,0.07000000029802322,-0.7997584342956543,19.984512329101562,0.020408162847161293,0.0,0.0
