split,environment,path_num,condition_id,source_id,stage1_safe_cost,teacher_safe_cost,stage1_mode,teacher_mode,teacher_valid,B_cost_only_safe_cost,B_cost_only_mode,B_cost_only_recovery
train,env000001,4,24,1,2.9736483097076416,0.12661603093147278,-1,-1,True,0.24031366407871246,-1,0.9600644707679749
train,env000001,4,24,2,3.4443957805633545,0.37027978897094727,-1,-1,True,0.17755058407783508,-1,1.0626941919326782
train,env000001,4,24,3,3.3203489780426025,0.6815821528434753,-1,-1,True,0.24782511591911316,-1,1.1643787622451782
train,env000086,2,25,0,2.949730634689331,0.5068445205688477,1,1,True,1.2571547031402588,1,0.6928591132164001
train,env000086,2,25,1,3.1756818294525146,0.4792194962501526,1,1,True,1.2286237478256226,0,0.7220786809921265
train,env000086,2,25,2,3.5758461952209473,0.5800163745880127,1,1,True,1.1948730945587158,1,0.7947624921798706
train,env000086,2,25,3,2.8593909740448,0.5011910796165466,1,1,True,1.262410283088684,1,0.6772032976150513
train,env000098,2,26,0,9.477063179016113,4.0921630859375,-1,0,True,0.9110090136528015,1,1.590754508972168
train,env000098,2,26,1,9.163684844970703,3.432861566543579,-1,0,True,0.9915947914123535,1,1.4259889125823975
train,env000098,2,26,2,8.915860176086426,1.2820733785629272,-1,-1,True,1.0666970014572144,1,1.028213620185852
train,env000098,2,26,3,8.642251968383789,4.05543851852417,-1,0,True,1.0035483837127686,1,1.6653616428375244
train,env000026,2,27,0,6.479658126831055,2.790804386138916,1,0,True,1.1176862716674805,-1,1.453560471534729
train,env000026,2,27,1,7.043962001800537,2.7534728050231934,1,0,True,1.1101628541946411,-1,1.383012294769287
train,env000026,2,27,2,6.818345069885254,2.6882193088531494,1,1,True,1.0235077142715454,-1,1.40306556224823
train,env000026,2,27,3,7.211082458496094,2.750183582305908,1,1,True,1.1754233837127686,-1,1.3530139923095703
train,env000050,1,28,0,9.412609100341797,1.653241753578186,-1,-1,True,1.561485767364502,1,1.0118252038955688
