variant,environment,path_num,condition_id,source_id,teacher_condition_safe,teacher_candidate_safe,student_candidate_safe,recovery,relative_teacher_error,max_control_point_deviation_m,mode_keep_vs_stage1,mode_match_teacher,teacher_cost,student_cost,teacher_min_esdf,student_min_esdf,newly_unsafe_point_count,newly_unsafe_point_indices,student_max_violation_m
B_cost_only,env000072,0,67,2,False,False,False,-0.2433502972126007,1.1576796770095825,1.8628997802734375,True,True,1.2195463180541992,6.402050018310547,-0.8607984781265259,-0.9547218084335327,24,22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 43 44 45 46 47 52 53 54 55,0.9547218084335327
B_cost_only,env000072,0,67,3,False,False,False,-0.17343196272850037,1.258143663406372,1.030415654182434,True,True,0.5529154539108276,4.62957763671875,-0.3535214364528656,-0.7299262285232544,14,39 40 43 44 45 46 47 48 49 50 51 52 53 54,0.7299262285232544
B_cost_only,env000087,3,68,0,False,False,False,0.09447906911373138,1.0209239721298218,1.3972511291503906,False,True,4.023743629455566,8.282096862792969,-1.009790301322937,-1.3736237287521362,21,51 52 53 54 55 56 61 62 63 64 65 66 67 68 69 70 71 72 73 83 84,1.3736237287521362
B_cost_only,env000087,3,68,1,False,False,False,0.07420520484447479,1.0885854959487915,1.9744492769241333,False,False,2.7478976249694824,9.035418510437012,-0.7639866471290588,-1.5034441947937012,35,51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94,1.5034441947937012
B_cost_only,env000087,3,68,2,False,False,False,0.20403270423412323,1.144325852394104,1.8441948890686035,False,False,3.375593900680542,8.474940299987793,-0.7884061336517334,-1.39398992061615,18,51 52 55 62 63 68 80 81 83 84 85 86 87 88 89 90 94 95,1.39398992061615
B_cost_only,env000087,3,68,3,False,False,False,-0.030652068555355072,1.0118780136108398,1.359989047050476,True,True,4.082173824310303,8.773736000061035,-1.0409530401229858,-1.4268522262573242,17,50 51 58 59 60 61 62 63 64 65 68 69 70 71 72 83 84,1.4268522262573242
B_cost_only,env000092,2,69,0,False,False,False,-0.06817201524972916,1.090254783630371,1.3362668752670288,True,True,1.822754979133606,7.439338684082031,-0.6694998145103455,-1.1187872886657715,18,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22,1.1187872886657715
B_cost_only,env000092,2,69,1,False,False,False,0.08217354118824005,1.1652233600616455,1.0856133699417114,False,False,2.784910202026367,6.382389545440674,-1.0392348766326904,-1.1948360204696655,6,8 9 10 11 12 13,1.1948360204696655
B_cost_only,env000092,2,69,2,False,False,False,0.16044899821281433,1.102464199066162,1.4412130117416382,False,True,2.1409413814544678,6.640069484710693,-1.0618157386779785,-1.2370861768722534,10,5 6 7 8 9 10 11 12 13 14,1.2370861768722534
B_cost_only,env000092,2,69,3,False,False,False,0.0510706789791584,1.0321545600891113,1.304123044013977,True,True,2.12266206741333,6.826801776885986,-1.0486724376678467,-1.1211286783218384,12,5 6 7 8 9 10 11 12 13 14 15 16,1.1211286783218384
